epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.8011,1.03165,0.6867,1,0.89427,0.00020006,0.00020006,0.00020006
2,32.965,0.86765,0.80258,1,0.6853,0.000410307,0.000410307,0.000410307
3,49.1078,0.70346,0.82403,1,0.49507,0.000616311,0.000616311,0.000616311
4,65.2194,0.52538,0.84549,1,0.39232,0.00081807,0.00081807,0.00081807
5,81.816,0.39078,0.87124,1,0.31067,0.00101558,0.00101558,0.00101558
6,98.0476,0.40714,0.88841,1,0.24033,0.00120886,0.00120886,0.00120886
7,114.817,0.35488,0.93991,1,0.18952,0.00134412,0.00134412,0.00134412
8,132.662,0.3006,0.9485,1,0.16442,0.00132997,0.00132997,0.00132997
9,150.405,0.21474,0.91416,1,0.22649,0.00131582,0.00131582,0.00131582
10,166.668,0.37442,0.94421,1,0.15352,0.00130168,0.00130168,0.00130168
11,183.815,0.18796,0.96137,1,0.14799,0.00128753,0.00128753,0.00128753
12,200.268,0.33794,0.897,1,0.22119,0.00127338,0.00127338,0.00127338
13,216.926,0.26984,0.86695,1,0.36363,0.00125923,0.00125923,0.00125923
14,233.468,0.17559,0.95708,1,0.17535,0.00124509,0.00124509,0.00124509
15,250.554,0.18864,0.95279,1,0.17589,0.00123094,0.00123094,0.00123094
16,267.562,0.29746,0.95708,1,0.1286,0.00121679,0.00121679,0.00121679
17,284.51,0.14332,0.95279,1,0.16678,0.00120265,0.00120265,0.00120265
18,301.479,0.17465,0.95708,1,0.16649,0.0011885,0.0011885,0.0011885
19,318.055,0.21333,0.96567,1,0.10514,0.00117435,0.00117435,0.00117435
20,334.409,0.20489,0.96567,1,0.12915,0.00116021,0.00116021,0.00116021
21,351.071,0.19248,0.96996,1,0.12704,0.00114606,0.00114606,0.00114606
22,368.176,0.16336,0.96567,1,0.07894,0.00113191,0.00113191,0.00113191
23,384.751,0.13879,0.97425,1,0.0721,0.00111776,0.00111776,0.00111776
24,401.157,0.0968,0.96567,1,0.15425,0.00110362,0.00110362,0.00110362
25,418.142,0.16173,0.96996,1,0.11376,0.00108947,0.00108947,0.00108947
26,434.878,0.08694,0.97854,1,0.05786,0.00107532,0.00107532,0.00107532
27,451.714,0.10347,0.96996,1,0.08287,0.00106118,0.00106118,0.00106118
28,467.922,0.07723,0.96996,1,0.07685,0.00104703,0.00104703,0.00104703
29,484.71,0.10306,0.96996,1,0.0942,0.00103288,0.00103288,0.00103288
30,501.168,0.06101,0.96137,1,0.10141,0.00101873,0.00101873,0.00101873
31,517.708,0.10076,0.97425,1,0.10131,0.00100459,0.00100459,0.00100459
32,534.761,0.1085,0.96567,1,0.13485,0.00099044,0.00099044,0.00099044
33,551.072,0.31146,0.97425,1,0.20575,0.000976293,0.000976293,0.000976293
34,567.755,0.11688,0.96996,1,0.19481,0.000962146,0.000962146,0.000962146
35,584.059,0.08699,0.97425,1,0.10594,0.000947999,0.000947999,0.000947999
36,601.21,0.09438,0.96996,1,0.0955,0.000933851,0.000933851,0.000933851
37,617.902,0.06507,0.97425,1,0.08124,0.000919704,0.000919704,0.000919704
38,634.734,0.09453,0.97425,1,0.08291,0.000905557,0.000905557,0.000905557
39,651.461,0.08928,0.97854,1,0.07808,0.00089141,0.00089141,0.00089141
40,668.856,0.05292,0.97854,1,0.11936,0.000877263,0.000877263,0.000877263
41,685.64,0.05488,0.97425,1,0.12379,0.000863116,0.000863116,0.000863116
42,702.424,0.1018,0.97854,1,0.12105,0.000848969,0.000848969,0.000848969
43,718.978,0.04704,0.97854,1,0.10536,0.000834822,0.000834822,0.000834822
44,735.385,0.17623,0.97854,1,0.09315,0.000820675,0.000820675,0.000820675
45,751.549,0.04748,0.98283,1,0.07639,0.000806528,0.000806528,0.000806528
46,768.848,0.13053,0.97854,1,0.07033,0.00079238,0.00079238,0.00079238
47,785.614,0.09451,0.97854,1,0.09671,0.000778233,0.000778233,0.000778233
48,802.036,0.06382,0.97425,1,0.07967,0.000764086,0.000764086,0.000764086
49,818.744,0.05857,0.97854,1,0.05199,0.000749939,0.000749939,0.000749939
